HY,ACG,HR,HS,AwayTeam,HO,HC,HF,AST,HST,Date,AC,AF,FTHG,AO,AS,AR,HCG,AY,HHW,HomeTeam,AHW,FTAG
1,0,1,13,BK Häcken,3,13,11,4,7,01/05/16,4,11,3,1,5,0,2,0,0,Malmö FF,0,0
2,0,0,11,Jönköpings Södra IF,1,3,9,2,5,02/05/16,4,15,0,2,7,1,0,3,0,AIK,0,0
3,0,0,10,Östersunds FK,1,3,16,2,4,02/05/16,10,8,3,8,7,0,0,1,0,Djurgården,0,0
0,0,0,6,IFK Göteborg,1,3,7,7,2,02/05/16,7,6,2,1,14,0,0,0,0,Gefle IF FF,1,6
0,0,0,14,Helsingborgs IF,2,4,6,2,10,02/05/16,4,9,3,0,9,0,0,0,1,IFK Norrköping FK,0,0
1,0,0,18,Örebro,2,9,11,3,9,02/05/16,5,9,3,1,9,0,0,2,0,Kalmar FF,1,2
1,0,0,7,Gefle IF FF,3,2,10,3,4,07/05/16,4,11,2,3,5,0,0,2,0,IF Elfsborg,0,0
0,0,0,7,Kalmar FF,0,5,15,4,3,07/05/16,7,8,1,1,14,0,0,1,0,Östersunds FK,1,0
2,0,0,10,Malmö FF,2,3,9,8,5,08/05/16,12,6,2,1,17,0,0,3,1,Helsingborgs IF,0,1
3,0,1,6,IFK Norrköping FK,3,4,5,12,5,08/05/16,8,8,0,1,21,0,0,1,0,Jönköpings Södra IF,0,2
2,0,0,14,AIK,1,8,20,6,6,08/05/16,5,20,2,5,16,0,0,5,1,BK Häcken,1,3
0,0,0,15,Falkenbergs FF,3,4,11,6,6,09/05/16,8,13,2,0,9,0,0,1,1,GIF Sundsvall,0,1
0,0,0,10,Djurgården,1,4,9,2,4,09/05/16,1,11,2,2,10,0,0,1,0,IFK Göteborg,1,1
3,0,0,12,Hammarby,4,4,12,16,8,09/05/16,7,9,3,1,25,0,1,3,0,Örebro,1,2
