HY,ACG,HR,HS,AwayTeam,HO,HC,HF,AST,HST,Date,AC,AF,FTHG,AO,AS,AR,HCG,AY,HHW,HomeTeam,AHW,FTAG
0,0,0,9,BK Häcken,2,3,19,2,4,04/04/15,6,17,2,0,3,0,0,2,0,Hammarby IF,0,0
1,0,0,9,Helsingborgs IF,2,5,14,2,5,04/04/15,6,9,0,2,11,0,0,2,0,Kalmar FF,0,0
0,0,0,19,Gefle IF,2,7,11,8,10,05/04/15,7,10,0,4,10,0,0,0,1,Falkenbergs FF,0,2
2,0,0,14,Åtvidabergs FF,1,4,9,4,5,05/04/15,5,14,1,5,7,1,0,3,0,IFK Göteborg,0,0
2,0,0,9,IF Elfsborg,3,2,12,6,4,05/04/15,4,12,1,2,7,0,0,5,0,Djurgårdens IF,0,2
1,0,0,9,Örebro SK,1,9,13,5,5,05/04/15,6,11,1,1,12,0,0,2,0,IFK Norrköping,0,1
1,0,0,11,Halmstads BK,0,2,14,5,4,06/04/15,4,7,2,4,9,0,0,1,0,AIK,0,1
2,0,0,10,Malmö FF,1,3,16,7,4,06/04/15,4,5,1,0,9,1,0,2,0,GIF Sundsvall,0,4
0,0,0,7,Kalmar FF,1,4,17,8,4,08/04/15,10,13,2,0,13,0,0,3,0,Gefle IF,1,0
1,0,0,14,Falkenbergs FF,3,7,10,3,6,08/04/15,4,10,0,2,6,0,0,1,1,Helsingborgs IF,0,0
3,0,0,12,IFK Göteborg,1,8,9,5,7,08/04/15,6,9,0,0,10,0,0,2,2,Örebro SK,0,2
2,0,0,9,Hammarby IF,0,9,11,2,5,08/04/15,0,14,1,2,6,0,0,1,0,IF Elfsborg,0,1
2,0,0,13,Djurgårdens IF,0,2,8,4,5,09/04/15,6,6,1,1,8,0,0,2,0,BK Häcken,1,1
2,0,0,5,IFK Norrköping,3,5,16,8,2,09/04/15,3,8,0,5,12,0,0,0,0,Halmstads BK,0,3
1,1,0,8,GIF Sundsvall,1,5,7,9,6,09/04/15,8,11,2,6,11,0,0,1,0,Åtvidabergs FF,0,3
3,0,0,11,AIK,3,11,16,4,8,09/04/15,3,12,0,2,11,0,0,2,0,Malmö FF,0,0
0,0,0,12,Örebro SK,5,3,16,5,9,12/04/15,5,10,2,5,11,0,0,0,1,Falkenbergs FF,1,0
1,0,0,11,Helsingborgs IF,1,3,5,6,6,12/04/15,6,11,1,0,12,0,0,3,0,Halmstads BK,0,2
2,0,0,20,Gefle IF,5,7,19,1,9,12/04/15,4,12,3,1,4,0,0,1,0,AIK,0,1
1,0,0,5,Malmö FF,1,7,9,2,1,12/04/15,4,9,0,4,7,0,0,2,0,IFK Göteborg,0,1
2,0,0,8,BK Häcken,4,8,9,7,4,13/04/15,6,8,1,1,13,0,0,0,0,GIF Sundsvall,0,1
0,0,0,13,IF Elfsborg,2,5,6,7,4,13/04/15,4,12,0,2,10,0,0,3,0,IFK Norrköping,0,4
2,0,0,9,Åtvidabergs FF,6,5,10,1,5,13/04/15,1,11,2,0,4,0,0,0,0,Kalmar FF,0,1
1,0,0,14,Djurgårdens IF,1,5,8,5,7,13/04/15,2,8,2,5,14,0,0,1,2,Hammarby IF,0,1
0,0,0,10,Kalmar FF,3,1,10,4,4,17/04/15,3,9,1,1,8,0,0,1,1,Djurgårdens IF,0,0
0,0,0,20,Halmstads BK,1,18,10,3,9,18/04/15,3,9,0,1,6,0,0,1,0,Gefle IF,0,0
0,0,1,10,Falkenbergs FF,6,11,9,5,6,19/04/15,5,11,3,2,9,0,0,2,0,Åtvidabergs FF,1,1
4,0,0,10,IFK Göteborg,3,3,18,5,6,19/04/15,6,10,1,1,9,0,0,1,0,BK Häcken,0,2
1,0,0,13,IFK Norrköping,3,3,19,1,7,20/04/15,5,11,3,1,5,0,0,4,0,Helsingborgs IF,0,1
1,0,0,30,GIF Sundsvall,0,13,7,12,20,20/04/15,5,9,1,1,14,0,0,1,0,Örebro SK,0,3
1,0,0,14,Hammarby IF,2,7,7,4,5,20/04/15,5,8,3,3,10,0,0,2,2,Malmö FF,0,1
2,0,0,11,AIK,2,4,18,4,6,21/04/15,4,11,3,1,8,0,0,2,0,IF Elfsborg,0,2
1,0,0,7,Malmö FF,3,1,11,12,4,24/04/15,11,6,3,2,25,0,0,0,0,Falkenbergs FF,1,3
1,0,0,16,Åtvidabergs FF,5,4,10,3,9,25/04/15,8,12,2,6,5,0,0,1,0,Hammarby IF,0,1
2,0,0,5,Djurgårdens IF,5,8,10,5,2,26/04/15,5,7,0,0,10,0,0,0,0,GIF Sundsvall,1,2
2,0,0,4,IF Elfsborg,5,4,9,5,4,26/04/15,8,9,1,1,11,0,0,0,0,Halmstads BK,0,0
0,0,0,23,Örebro SK,2,6,7,1,10,26/04/15,2,13,3,1,4,1,0,2,0,AIK,1,0
4,0,1,13,BK Häcken,2,4,15,7,5,26/04/15,4,20,0,2,11,0,0,2,0,Kalmar FF,0,1
1,0,0,15,Gefle IF,3,6,15,4,12,27/04/15,5,10,4,1,9,0,0,3,0,IFK Norrköping,1,1
0,0,0,14,Helsingborgs IF,1,4,11,4,8,27/04/15,6,16,3,2,16,0,0,5,0,IFK Göteborg,0,1
1,0,0,15,Falkenbergs FF,3,10,5,1,8,29/04/15,0,12,3,2,4,0,0,0,0,Djurgårdens IF,0,1
